Title,Description,Priority,Status,Assignee,Labels,Estimate,Created,Completed
Dispatch History — Table with filters (search + status),Table columns: Time Reference User Total Items Status. Sortable. Filter bar: search input + status dropdown (All/Completed/Voided). Client-side sort/filter with URL sync. Single expandable row at a time (chevron rotates 90deg).,high,,,Dispatch History,,,
Dispatch History — Expandable dispatch items (inner table),Inner table inside expanded row: Product Name Batch Code Quantity UOM Deducted Unit Cost Created At. Sortable. Fetch via convex/dispatches/queries.getItems(dispatchId). Cache per dispatch for instant re-sort.,medium,,,Dispatch History,,,
Audit Logs — Backend query (filtered paginated sortable),convex/audit-logs/queries.ts: server-side paginated list. Filters: action (distinct values) userId dateFrom dateTo search text. Sortable by createdAt action userName. Return paginated results + available filter options (actions list users list).,high,,,Audit Logs,,,
Audit Logs — Table with filter controls,Table columns: Timestamp Action User Description. Filter bar: search input action dropdown (populated from API) user dropdown dateFrom dateTo inputs clear filters button. URL sync via nuqs. Server-side pagination with page controls.,high,,,Audit Logs,,,
Audit Logs — Expandable detail rows (JSON IP user-agent),Click row to expand: full JSON description IP address user agent resource type/ID. Single row expanded at a time (previous collapses).,medium,,,Audit Logs,,,
Audit Logs — CSV export (respects active filters),Mutation that accepts current filters and returns CSV with BOM. Columns: Timestamp User Email Role Action Resource Type Resource ID Description IP Address. Max 10000 rows. Download button uses current filter state.,medium,,,Audit Logs,,,
Audit Logs — Personal view for staff (no filters),Page at app/(dashboard)/audit-logs/personal/page.tsx. Auto-filtered to current user only. No filter bar. No user column. No export button. Same expandable rows. Back link to /products.,low,,,Audit Logs,,,
Stock Adjustments — Backend queries (by batch product list),convex/stock-adjustments/queries.ts: listByBatch(batchId) listByProduct(productId) listAll (filterable by reason date range status). Return with computed fields: batchCode productName userName.,medium,,,Stock Adjustments,,,
Stock Adjustments — Backend mutations (create void),convex/stock-adjustments/mutations.ts: create (validate batch/product exist positive qty valid reason update product currentQuantity + totalAssetValue). void (reverse adjustment set status voided). Log audit: stock_adjustment.,medium,,,Stock Adjustments,,,
Stock Adjustments — Management UI (dialog on inventory),Dialog on inventory page per batch: reason selector (damaged/lost/recount/system_reversal) quantity input submit button. Show adjustment history in batch details expandable section. Option to void adjustments.,medium,,,Stock Adjustments,,,
Suppliers — Delete dialog with batch dependency check,Delete dialog: check if supplier has associated batches. If yes: show error listing related batches (batchCode productName qty) disable confirm. If no: show confirmation + POST to delete. Toast + table refresh on success.,medium,,,Admin & Polish,,,
Users — Reactivate mutation and button,Backend: convex/users/mutations.reactivate set status to active. Frontend: Reactivate button in staff table for deactivated users. Confirmation dialog. Toast + table refresh.,medium,,,Admin & Polish,,,
Suppliers — Unarchive mutation and button,Backend: convex/suppliers/mutations.unarchive clear archivedAt. Frontend: Unarchive button for archived suppliers. Confirmation dialog. Toast + table refresh.,low,,,Admin & Polish,,,
Product image upload — Convex storage action + dialog UI,Convex action for file storage (product images). Wire imagePath on products during create/update. Add upload UI in Add Inventory dialog: drag-drop zone browse button preview container remove button. Max 5MB JPEG/PNG.,low,,,Admin & Polish,,,
Reports — Placeholder page shell,Page at app/(dashboard)/reports/page.tsx. Title Reports with subtitle. Empty state ready for future report widgets. Matches prototype which is also a shell placeholder.,low,,,Admin & Polish,,,
Comprehensive test suite,Expand test coverage: dispatch mutations (createDispatch FIFO deduction batch depletion) stock adjustment mutations (create void auto-void) audit log queries (filtering pagination sort export).,medium,,,Admin & Polish,,,
